match_id,toss_winner,toss_name,match_winner,match_outcome
829726,Mumbai Indians,bat,Rajasthan Royals,Lost
829728,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
829730,Kings XI Punjab,bat,Delhi Daredevils,Lost
829732,Rajasthan Royals,field,Rajasthan Royals,Won
829734,Mumbai Indians,bat,Chennai Super Kings,Lost
829736,Delhi Daredevils,bat,Delhi Daredevils,Won
829738,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
829740,Chennai Super Kings,bat,Rajasthan Royals,Lost
829742,Royal Challengers Bangalore,field,Mumbai Indians,Lost
829744,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
829746,Kings XI Punjab,field,Kings XI Punjab,Won
829748,Kolkata Knight Riders,field,Sunrisers Hyderabad,Lost
829750,Royal Challengers Bangalore,field,Chennai Super Kings,Lost
829752,Mumbai Indians,field,Delhi Daredevils,Lost
829754,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
829756,Mumbai Indians,bat,Mumbai Indians,Won
829758,Chennai Super Kings,bat,Chennai Super Kings,Won
829762,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
829764,Kings XI Punjab,field,Sunrisers Hyderabad,Lost
829766,Kolkata Knight Riders,bat,Kolkata Knight Riders,Won
829768,Rajasthan Royals,field,NULL,Lost
829770,Kolkata Knight Riders,field,Chennai Super Kings,Lost
829772,Delhi Daredevils,field,Delhi Daredevils,Won
829774,Rajasthan Royals,field,Mumbai Indians,Lost
829776,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
829778,Chennai Super Kings,field,Sunrisers Hyderabad,Lost
829780,Mumbai Indians,bat,Mumbai Indians,Won
829782,Delhi Daredevils,field,Rajasthan Royals,Lost
829784,Chennai Super Kings,bat,Chennai Super Kings,Won
829786,Sunrisers Hyderabad,field,Kolkata Knight Riders,Lost
829788,Delhi Daredevils,bat,Mumbai Indians,Lost
829790,Kings XI Punjab,field,Royal Challengers Bangalore,Lost
829792,Rajasthan Royals,field,Sunrisers Hyderabad,Lost
829794,Chennai Super Kings,bat,Mumbai Indians,Lost
829796,Kings XI Punjab,bat,Kolkata Knight Riders,Lost
829798,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Won
829800,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Won
829802,Chennai Super Kings,bat,Chennai Super Kings,Won
829804,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Won
829806,Chennai Super Kings,bat,Delhi Daredevils,Lost
829808,Royal Challengers Bangalore,field,Kings XI Punjab,Lost
829810,Kolkata Knight Riders,field,Mumbai Indians,Lost
829812,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,Lost
829814,Kings XI Punjab,bat,Chennai Super Kings,Lost
829816,Rajasthan Royals,bat,Rajasthan Royals,Won
829818,Royal Challengers Bangalore,field,NULL,Lost
829820,Sunrisers Hyderabad,bat,Mumbai Indians,Lost
829822,Mumbai Indians,bat,Mumbai Indians,Won
829824,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Won
829826,Chennai Super Kings,field,Chennai Super Kings,Won
829828,Chennai Super Kings,field,Mumbai Indians,Lost
980906,Mumbai Indians,bat,Rising Pune Supergiants,Lost
980908,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
980910,Gujarat Lions,field,Gujarat Lions,Won
980912,Sunrisers Hyderabad,field,Royal Challengers Bangalore,Lost
980914,Mumbai Indians,field,Mumbai Indians,Won
980916,Rising Pune Supergiants,bat,Gujarat Lions,Lost
980918,Delhi Daredevils,field,Delhi Daredevils,Won
980920,Sunrisers Hyderabad,bat,Kolkata Knight Riders,Lost
980922,Gujarat Lions,field,Gujarat Lions,Won
980924,Rising Pune Supergiants,bat,Kings XI Punjab,Lost
980926,Delhi Daredevils,field,Delhi Daredevils,Won
980928,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Won
980930,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
980932,Mumbai Indians,field,Mumbai Indians,Won
980934,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Won
980936,Rising Pune Supergiants,field,Royal Challengers Bangalore,Lost
980938,Mumbai Indians,field,Delhi Daredevils,Lost
980940,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Won
980942,Royal Challengers Bangalore,bat,Gujarat Lions,Lost
980944,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
980946,Kings XI Punjab,field,Mumbai Indians,Lost
980948,Rising Pune Supergiants,field,Rising Pune Supergiants,Won
980950,Delhi Daredevils,field,Gujarat Lions,Lost
980952,Mumbai Indians,field,Mumbai Indians,Won
980954,Gujarat Lions,field,Gujarat Lions,Won
980956,Kolkata Knight Riders,field,Delhi Daredevils,Lost
980958,Royal Challengers Bangalore,field,Sunrisers Hyderabad,Lost
980960,Gujarat Lions,field,Kings XI Punjab,Lost
980962,Mumbai Indians,field,Mumbai Indians,Won
980964,Kolkata Knight Riders,field,Kolkata Knight Riders,Won
980966,Delhi Daredevils,field,Delhi Daredevils,Won
980968,Kings XI Punjab,field,Kolkata Knight Riders,Lost
980970,Rising Pune Supergiants,field,Rising Pune Supergiants,Won
980972,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Won
980974,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
980976,Delhi Daredevils,field,Kings XI Punjab,Lost
980978,Mumbai Indians,field,Sunrisers Hyderabad,Lost
980980,Gujarat Lions,field,Gujarat Lions,Won
980982,Kings XI Punjab,field,Royal Challengers Bangalore,Lost
980984,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Won
980986,Mumbai Indians,field,Mumbai Indians,Won
980988,Delhi Daredevils,field,Delhi Daredevils,Won
980990,Mumbai Indians,bat,Kings XI Punjab,Lost
980992,Gujarat Lions,field,Royal Challengers Bangalore,Lost
980994,Rising Pune Supergiants,bat,Kolkata Knight Riders,Lost
980996,Kings XI Punjab,bat,Sunrisers Hyderabad,Lost
980998,Delhi Daredevils,field,Mumbai Indians,Lost
981000,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
981002,Rising Pune Supergiants,field,Rising Pune Supergiants,Won
981004,Kings XI Punjab,field,Royal Challengers Bangalore,Lost
981006,Gujarat Lions,field,Gujarat Lions,Won
981008,Delhi Daredevils,field,Delhi Daredevils,Won
981010,Kings XI Punjab,bat,Rising Pune Supergiants,Lost
981012,Gujarat Lions,field,Gujarat Lions,Won
981014,Sunrisers Hyderabad,field,Kolkata Knight Riders,Lost
981016,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
981018,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Won
981020,Kolkata Knight Riders,field,Sunrisers Hyderabad,Lost
981022,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Won
981024,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Won
1082591,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,Lost
1082592,Rising Pune Supergiant,Field,Rising Pune Supergiants,Lost
1082593,Kolkata Knight Riders,Field,Kolkata Knight Riders,Won
1082594,Kings XI Punjab,Field,Kings XI Punjab,Won
1082595,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,Won
1082596,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Won
1082597,Mumbai Indians,Field,Mumbai Indians,Won
1082598,Royal Challengers Bangalore,Bat,Kings XI Punjab,Lost
1082599,Rising Pune Supergiants,Field,Delhi Daredevils,Lost
1082600,Mumbai Indians,Field,Mumbai Indians,Won
1082601,Kolkata Knight Riders,Field,Kolkata Knight Riders,Won
1082602,Mumbai Indians,Field,Mumbai Indians,Won
1082603,Gujarat Lions,Field,Gujarat Lions,Won
1082604,Sunrisers Hyderabad,Field,Kolkata Knight Riders,Lost
1082605,Delhi Daredevils,Bat,Delhi Daredevils,Won
1082606,Mumbai Indians,Field,Mumbai Indians,Won
1082607,Royal Challengers Bangalore,Field,Rising Pune Supergiants,Lost
1082608,Delhi Daredevils,Bat,Kolkata Knight Riders,Lost
1082609,Kings XI Punjab,Field,Sunrisers Hyderabad,Lost
1082610,Gujarat Lions,Field,Royal Challengers Bangalore,Lost
1082611,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,Won
1082612,Mumbai Indians,Field,Mumbai Indians,Won
1082613,Gujarat Lions,Field,Gujarat Lions,Won
1082614,Delhi Daredevils,Field,Mumbai Indians,Lost
1082615,Rising Pune Supergiants,Field,Rising Pune Supergiants,Won
1082616,Gujarat Lions,Field,Kings XI Punjab,Lost
1082617,Royal Challengers Bangalore,Field,Kolkata Knight Riders,Lost
1082618,Mumbai Indians,Field,Rising Pune Supergiants,Lost
1082619,,NA,abandoned,Lost
1082620,Kolkata Knight Riders,Field,Kolkata Knight Riders,Won
1082621,Gujarat Lions,Field,Gujarat Lions,Won
1082622,Kolkata Knight Riders,Field,Kolkata Knight Riders,Won
1082623,Kings XI Punjab,Field,Sunrisers Hyderabad,Lost
1082624,Royal Challengers Bangalore,Field,Rising Pune Supergiants,Lost
1082625,Gujarat Lions,Bat,tied,Lost
1082626,Kings XI Punjab,Field,Kings XI Punjab,Won
1082627,Kolkata Knight Riders,Field,Sunrisers Hyderabad,Lost
1082628,Royal Challengers Bangalore,Bat,Mumbai Indians,Lost
1082629,Rising Pune Supergiants,Field,Rising Pune Supergiants,Won
1082630,Delhi Daredevils,Field,Delhi Daredevils,Won
1082631,Rising Pune Supergiants,Field,Rising Pune Supergiants,Won
1082632,Delhi Daredevils,Field,Delhi Daredevils,Won
1082633,Royal Challengers Bangalore,Field,Kings XI Punjab,Lost
1082634,Sunrisers Hyderabad,Field,Rising Pune Supergiants,Lost
1082635,Delhi Daredevils,Field,Mumbai Indians,Lost
